name,align,eye,hair,sex,year
Takeo Sato,Good Characters,Brown Eyes,Black Hair,Male Characters,1983
Malagigi,Good Characters,Blue Eyes,White Hair,Male Characters,1981
Alexander Tuttle,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1979
Cassius Bannister,Good Characters,Brown Eyes,Black Hair,Male Characters,1979
Leona Pierce,Good Characters,Brown Eyes,Brown Hair,Female Characters,1978
Earl Clifford,Good Characters,Brown Eyes,Black Hair,Male Characters,1977
Syonide I,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1977
John Watson,Good Characters,Blue Eyes,Grey Hair,Male Characters,1975
Colonel Sulphur,Bad Characters,Blue Eyes,Black Hair,Male Characters,1972
Ned Creegan,Bad Characters,Black Eyes,Brown Hair,Male Characters,1967
Charles Lane,Good Characters,Blue Eyes,Black Hair,Male Characters,1941
Nyola,Bad Characters,Brown Eyes,Brown Hair,Female Characters,1940
Barack Obama,Good Characters,Brown Eyes,Black Hair,Male Characters,2011
Darla Dudley,Good Characters,Brown Eyes,Black Hair,Female Characters,2011
Dawn Golden,Good Characters,Blue Eyes,Red Hair,Female Characters,2011
Delores Stebbins,Bad Characters,Black Eyes,Red Hair,Female Characters,2011
Eugene Choi,Good Characters,Brown Eyes,Black Hair,Male Characters,2011
Pedro Peu00f1a,Good Characters,Brown Eyes,Black Hair,Male Characters,2011
Promise,Neutral Characters,Black Eyes,Blond Hair,Female Characters,2011
Ri,Good Characters,Black Eyes,Black Hair,Female Characters,2011
Sasha Lo,Good Characters,Brown Eyes,Black Hair,Female Characters,2011
Therestra,Good Characters,Blue Eyes,Blond Hair,Female Characters,2011
Catherine Van Derm,Good Characters,Green Eyes,Red Hair,Female Characters,2010
Funnel,Bad Characters,Black Eyes,Black Hair,Female Characters,2010
Khea Taramka,Bad Characters,Black Eyes,Black Hair,Female Characters,2010
Nasreen Samari,Neutral Characters,Brown Eyes,Black Hair,Female Characters,2010
Nell Little,Good Characters,Brown Eyes,Black Hair,Female Characters,2010
Neon Black,Bad Characters,Green Eyes,Black Hair,Male Characters,2010
Nicole Morrison,Good Characters,Brown Eyes,Black Hair,Female Characters,2010
Thomas Tomorrow,Good Characters,Blue Eyes,Blond Hair,Male Characters,2010
Winslow Heath,Bad Characters,Green Eyes,Green Hair,Male Characters,2010
Bettie Reynolds,Good Characters,Brown Eyes,Blond Hair,Female Characters,2009
Giuana,Bad Characters,Brown Eyes,Brown Hair,Female Characters,2009
Mark Sunderland,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2009
Miss Bloss,Neutral Characters,White Eyes,Black Hair,Female Characters,2009
Pele,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,2009
Vitoria,Bad Characters,Brown Eyes,Brown Hair,Female Characters,2009
Zeddmore Washington,Bad Characters,Brown Eyes,Black Hair,Male Characters,2009
Carlo Calzone,Bad Characters,Black Eyes,Red Hair,Male Characters,2008
Jacob,Bad Characters,Red Eyes,Black Hair,Male Characters,2008
Jared,Bad Characters,Red Eyes,Black Hair,Male Characters,2008
Kusanagi,Good Characters,Black Eyes,Grey Hair,Female Characters,2008
The Thief,Bad Characters,Green Eyes,Brown Hair,Male Characters,2008
Titus,Bad Characters,Black Eyes,Black Hair,Male Characters,2008
Amina Franklin,Good Characters,Brown Eyes,Brown Hair,Female Characters,2007
Dusan al Ghul,Bad Characters,Black Eyes,White Hair,Male Characters,2007
Elias Stone,Good Characters,Black Eyes,Black Hair,Male Characters,2007
Gorflack,Good Characters,Green Eyes,Brown Hair,Male Characters,2007
Lucas Terrel,Good Characters,Brown Eyes,Brown Hair,Male Characters,2007
Rena,Bad Characters,Brown Eyes,Black Hair,Female Characters,2007
Shaggy Man III,Bad Characters,Red Eyes,Brown Hair,Male Characters,2007
Vortigar,Bad Characters,Orange Eyes,Brown Hair,Male Characters,2007
Alexander Ferguson,Good Characters,Blue Eyes,Blond Hair,Male Characters,2006
Diviner,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2006
Roxanne Sutton,Bad Characters,Green Eyes,Red Hair,Female Characters,2006
Saber,Bad Characters,Brown Eyes,Brown Hair,Female Characters,2006
Tally Man II,Bad Characters,Brown Eyes,Black Hair,Male Characters,2006
Talon,Neutral Characters,Blue Eyes,Black Hair,Male Characters,2006
Carla Marcus,Good Characters,Brown Eyes,Brown Hair,Female Characters,2005
Lucia,Bad Characters,Brown Eyes,Black Hair,Female Characters,2005
Mad Dog,Bad Characters,Brown Eyes,Black Hair,Male Characters,2005
Pandora II,Good Characters,Brown Eyes,Brown Hair,Female Characters,2005
Fetch,Good Characters,Blue Eyes,Brown Hair,Male Characters,2004
Sigourney Amundsen,Good Characters,Green Eyes,Blond Hair,Female Characters,2004
Nnamdi,Good Characters,Red Eyes,Black Hair,Male Characters,2003
Ariadne Pinxit,Bad Characters,Blue Eyes,Blond Hair,Female Characters,2002
Byakko,Good Characters,Blue Eyes,White Hair,Female Characters,2002
Lady Zand,Bad Characters,Blue Eyes,Brown Hair,Female Characters,2002
Nia,Good Characters,Brown Eyes,Black Hair,Female Characters,2002
Falizia,Good Characters,Brown Eyes,Brown Hair,Female Characters,2001
Todd Oszechorski,Bad Characters,Brown Eyes,Blond Hair,Male Characters,2001
Samuel Yates,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2000
Shock Trauma,Bad Characters,Brown Eyes,Black Hair,Male Characters,2000
Sylvan Scofield,Bad Characters,Brown Eyes,Brown Hair,Female Characters,2000
Turk,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2000
Angelo Mirti,Bad Characters,Black Eyes,Grey Hair,Male Characters,1999
Isabelle Cheranova,Bad Characters,Hazel Eyes,Red Hair,Female Characters,1999
Rebecca McFadden,Good Characters,Green Eyes,Brown Hair,Female Characters,1999
William Hayes,Bad Characters,Brown Eyes,Black Hair,Male Characters,1999
Ariella Kent,Good Characters,Blue Eyes,Red Hair,Female Characters,1998
Claudio Volpe,Bad Characters,Brown Eyes,Blond Hair,Male Characters,1998
Miss Fear,Bad Characters,Brown Eyes,Black Hair,Female Characters,1998
Scarlet Rose,Bad Characters,White Eyes,Brown Hair,Female Characters,1998
Armitage Hawsley,Bad Characters,Brown Eyes,Black Hair,Male Characters,1997
Craig Windrow,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1997
Archer Braun,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1996
Dalkriig-Hath,Bad Characters,White Eyes,Black Hair,Male Characters,1996
Alan Armstrong,Good Characters,Blue Eyes,Black Hair,Male Characters,1995
Jacob Bernstein,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1995
Jacob Freeman,Good Characters,Black Eyes,Grey Hair,Male Characters,1995
Paul Christian,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1995
Rafael Harris,Neutral Characters,Brown Eyes,Black Hair,Male Characters,1995
Shiv II,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1995
Technician,Bad Characters,Brown Eyes,Black Hair,Male Characters,1995
Cricket Kelly,Good Characters,Blue Eyes,Blond Hair,Female Characters,1994
Jeven Ognats,Good Characters,Brown Eyes,Brown Hair,Male Characters,1994
Madeline Giles,Bad Characters,Brown Eyes,Black Hair,Female Characters,1994
Njara Kattuah,Bad Characters,Brown Eyes,Black Hair,Male Characters,1994
Raymond Kessler,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1994
Sidearm,Bad Characters,Blue Eyes,Red Hair,Male Characters,1994
Troll,Bad Characters,Green Eyes,Black Hair,Male Characters,1994
John Oakes,Good Characters,Blue Eyes,Black Hair,Male Characters,1993
Razer,Bad Characters,Brown Eyes,Black Hair,Male Characters,1993
Roger Goldman,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1993
Sanjeet Bhatia,Good Characters,Brown Eyes,Black Hair,Female Characters,1993
Tiffany Evans,Good Characters,Brown Eyes,Brown Hair,Female Characters,1993
Fel Andar,Bad Characters,Blue Eyes,Black Hair,Male Characters,1992
Jocasta,Bad Characters,Red Eyes,Red Hair,Female Characters,1992
Mrs. Gradenko,Bad Characters,Blue Eyes,Grey Hair,Female Characters,1991
Carrie Donahue,Good Characters,Hazel Eyes,Brown Hair,Female Characters,1990
Johanna Constantine,Good Characters,Blue Eyes,Blond Hair,Female Characters,1990
Morax,Bad Characters,Black Eyes,Brown Hair,Male Characters,1990
Shalako,Bad Characters,Green Eyes,Blond Hair,Male Characters,1990
Tsunami II,Good Characters,Brown Eyes,Black Hair,Male Characters,1990
Alexander Burgess,Bad Characters,Brown Eyes,Red Hair,Male Characters,1989
Joseph Potato,Good Characters,Blue Eyes,White Hair,Male Characters,1989
Sarah Moss,Good Characters,Brown Eyes,Brown Hair,Female Characters,1989
Tracker,Bad Characters,Black Eyes,Brown Hair,Male Characters,1989
Ada LaBostrie,Good Characters,Brown Eyes,Black Hair,Female Characters,1988
Carrie Phillips,Neutral Characters,Brown Eyes,Black Hair,Female Characters,1988
Death Mayhew,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1988
Incinderella,Bad Characters,Brown Eyes,Brown Hair,Female Characters,1988
Ixion,Bad Characters,Red Eyes,Green Hair,Male Characters,1988
Keng Quan Chee,Good Characters,Brown Eyes,Black Hair,Female Characters,1988
Mind Games,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1988
Shadrack Hightower,Bad Characters,Blue Eyes,White Hair,Male Characters,1988
Stanislaus Drozdowski,Good Characters,Blue Eyes,Blond Hair,Male Characters,1988
Strobe,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1988
Arnold Flass,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1987
Ashok Desai,Bad Characters,Black Eyes,Black Hair,Male Characters,1987
Godiva II,Bad Characters,Red Eyes,Black Hair,Female Characters,1987
Jefferson Skeevers,Bad Characters,Brown Eyes,Black Hair,Male Characters,1987
Richard Flag Sr.,Good Characters,Brown Eyes,Brown Hair,Male Characters,1987
Van-L,Good Characters,Brown Eyes,Brown Hair,Male Characters,1987
Wrynn,Bad Characters,Blue Eyes,Black Hair,Male Characters,1987
Anne Pasquale,Good Characters,Blue Eyes,Black Hair,Female Characters,1986
Marlene Simmonds,Bad Characters,Blue Eyes,Green Hair,Female Characters,1986
Richard Perignon,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1986
Amber II,Good Characters,Brown Eyes,Black Hair,Female Characters,1985
Jose Ramirez,Good Characters,Brown Eyes,Black Hair,Male Characters,1984
Lawrence Loman,Bad Characters,Black Eyes,Black Hair,Male Characters,1983
Lord Topaz,Good Characters,Yellow Eyes,White Hair,Male Characters,1983
Lysandra,Good Characters,Orange Eyes,Red Hair,Female Characters,1983
Marcia Long,Good Characters,Brown Eyes,Brown Hair,Female Characters,1983
Jeryll,Good Characters,Purple Eyes,White Hair,Female Characters,1982
Lady Viper,Bad Characters,Red Eyes,Blond Hair,Female Characters,1982
Michael Beldon,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1982
Kana,Neutral Characters,Brown Eyes,Black Hair,Male Characters,1981
Alvin Desmond,Bad Characters,Green Eyes,Red Hair,Male Characters,1980
Alexi Kronsky,Good Characters,Brown Eyes,Black Hair,Male Characters,1978
Edward Earhart,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1978
Heggra,Bad Characters,Black Eyes,Red Hair,Female Characters,1972
Heller,Good Characters,Blue Eyes,Red Hair,Female Characters,1969
Delbert Billings,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1966
Nicholas Hunter,Good Characters,Blue Eyes,Red Hair,Male Characters,1966
Silken Spider,Bad Characters,Brown Eyes,Black Hair,Female Characters,1966
Samuel Gordon,Good Characters,Blue Eyes,Brown Hair,Male Characters,1961
James Slade,Good Characters,Brown Eyes,Black Hair,Male Characters,1941
Fernando Suarez,Good Characters,Brown Eyes,Black Hair,Male Characters,1940
Adrasteia,Good Characters,Green Eyes,Red Hair,Female Characters,2011
Aleister Golden,Bad Characters,Black Eyes,Blond Hair,Male Characters,2011
Alexandra Gianopoulos,Good Characters,Brown Eyes,Black Hair,Female Characters,2011
David Zavimbi,Good Characters,Brown Eyes,Black Hair,Male Characters,2011
Galenthias,Good Characters,Green Eyes,Black Hair,Female Characters,2011
Qurina Vint,Good Characters,Green Eyes,Purple Hair,Female Characters,2011
Una Nemo,Bad Characters,Green Eyes,Black Hair,Female Characters,2011
Alton Janus,Good Characters,Blue Eyes,White Hair,Male Characters,2010
Astarte,Bad Characters,Blue Eyes,Blond Hair,Female Characters,2010
Divine,Bad Characters,Blue Eyes,Black Hair,Female Characters,2010
Doll Face,Bad Characters,Green Eyes,Blond Hair,Female Characters,2010
Durvella Cwion,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,2010
Oracle,Good Characters,White Eyes,Blond Hair,Female Characters,2010
Sac,Bad Characters,Blue Eyes,Black Hair,Male Characters,2010
Wolf,Bad Characters,Black Eyes,Brown Hair,Male Characters,2010
Gabrielle Kane,Good Characters,Green Eyes,Blond Hair,Female Characters,2009
Persephone II,Good Characters,Blue Eyes,White Hair,Female Characters,2009
Ral-Dar,Bad Characters,Grey Eyes,Blond Hair,Male Characters,2009
Shuja,Good Characters,Brown Eyes,Black Hair,Male Characters,2009
Adeline Prescott,Good Characters,Brown Eyes,Brown Hair,Female Characters,2008
Fairy Queen,Good Characters,Green Eyes,Blond Hair,Female Characters,2008
Gwendoline Harper,Good Characters,Blue Eyes,Blond Hair,Female Characters,2008
Joshua Walker,Bad Characters,Green Eyes,White Hair,Male Characters,2008
Miss Poltergeist,Good Characters,White Eyes,Purple Hair,Female Characters,2008
Repro,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2008
Sardonyxx,Good Characters,Green Eyes,Red Hair,Female Characters,2008
Acheron,Good Characters,Yellow Eyes,Black Hair,Male Characters,2007
Blitzkrieg,Bad Characters,Blue Eyes,Blond Hair,Female Characters,2007
Jackanapes,Bad Characters,Brown Eyes,Black Hair,Male Characters,2007
Karna,Bad Characters,Brown Eyes,Black Hair,Female Characters,2007
Karsta Wor-Ul,Good Characters,Green Eyes,Red Hair,Female Characters,2007
Chen Nuo,Good Characters,Black Eyes,Black Hair,Male Characters,2006
Eliza Harmon,Good Characters,Brown Eyes,Brown Hair,Female Characters,2006
Goldilocks,Bad Characters,Green Eyes,Blond Hair,Female Characters,2006
Hu Wei,Bad Characters,White Eyes,White Hair,Male Characters,2006
Mabel Martin,Neutral Characters,Green Eyes,Blond Hair,Female Characters,2006
Jacqueline Pemberton,Good Characters,Green Eyes,Red Hair,Female Characters,2005
Todd Martin,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2004
Alexander Petrov,Bad Characters,Black Eyes,Black Hair,Male Characters,2003
Helen Shepherd,Bad Characters,Blue Eyes,Blond Hair,Female Characters,2003
Rajak Darkraven,Bad Characters,Brown Eyes,Black Hair,Male Characters,2003
Xenon,Bad Characters,Red Eyes,White Hair,Male Characters,2003
Hallucinatra,Bad Characters,Red Eyes,White Hair,Male Characters,2002
Snake Girl,Good Characters,Blue Eyes,Brown Hair,Female Characters,2002
Carnivora,Bad Characters,White Eyes,Purple Hair,Female Characters,2001
Rampotatek,Neutral Characters,Brown Eyes,Blue Hair,Male Characters,2001
Theta,Bad Characters,Brown Eyes,Blond Hair,Female Characters,2001
Alcmaeon,Neutral Characters,Black Eyes,Black Hair,Male Characters,2000
Banner,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2000
Katherine Riordan,Bad Characters,Green Eyes,Red Hair,Female Characters,2000
Black Zero,Bad Characters,Blue Eyes,Black Hair,Male Characters,1999
Camilla Malone,Good Characters,Black Eyes,Black Hair,Female Characters,1999
Frederick Fleming,Bad Characters,Black Eyes,Black Hair,Male Characters,1999
Garl Rathbone,Good Characters,Violet Eyes,Black Hair,Male Characters,1999
Skanda,Neutral Characters,Brown Eyes,Black Hair,Male Characters,1999
Thula,Good Characters,White Eyes,Black Hair,Female Characters,1999
Kal-El,Good Characters,Gold Eyes,Gold Hair,Male Characters,1998
Walter Chase,Good Characters,Green Eyes,Blond Hair,Male Characters,1998
Marlon Corbet,Good Characters,Brown Eyes,Black Hair,Male Characters,1997
Marnie,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,1997
Paula Holt,Good Characters,Brown Eyes,Brown Hair,Female Characters,1997
Professor Bibbowski,Good Characters,Grey Eyes,Grey Hair,Male Characters,1997
Belyllioth,Bad Characters,Red Eyes,Brown Hair,Female Characters,1996
Marcia Hargis,Good Characters,Blue Eyes,Blond Hair,Female Characters,1996
Milos Grapa,Bad Characters,Blue Eyes,Grey Hair,Male Characters,1996
Minerva,Bad Characters,Brown Eyes,Brown Hair,Female Characters,1996
Pinky Butler,Good Characters,Brown Eyes,Black Hair,Male Characters,1996
Bounty,Bad Characters,Brown Eyes,Black Hair,Male Characters,1995
Eryx,Neutral Characters,Blue Eyes,Purple Hair,Male Characters,1995
Katrina Krieger,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1995
Russell Wolf,Good Characters,Green Eyes,Black Hair,Male Characters,1995
Wilde Norton,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1995
Bernard Emil Morlock,Bad Characters,Yellow Eyes,White Hair,Male Characters,1994
Bloodmoney,Bad Characters,Yellow Eyes,Blond Hair,Male Characters,1994
Chrysalis,Good Characters,White Eyes,Brown Hair,Female Characters,1994
Miasma,Bad Characters,Green Eyes,Blond Hair,Female Characters,1994
Payback,Bad Characters,Red Eyes,Green Hair,Male Characters,1994
Scatter,Bad Characters,Red Eyes,Green Hair,Female Characters,1994
Shellshock,Bad Characters,Black Eyes,Green Hair,Female Characters,1994
Silver Dragon,Bad Characters,Brown Eyes,Black Hair,Male Characters,1994
Split,Bad Characters,White Eyes,Blond Hair,Male Characters,1994
Adam Sector 1055,Good Characters,Purple Eyes,Purple Hair,Male Characters,1993
Blaster,Bad Characters,Brown Eyes,Black Hair,Male Characters,1993
Cokie Walters,Good Characters,Blue Eyes,Brown Hair,Female Characters,1993
Darlene Spritzer,Good Characters,Blue Eyes,Red Hair,Female Characters,1993
Isabelle Modini,Good Characters,Brown Eyes,Brown Hair,Female Characters,1993
Kurt Stack,Bad Characters,Green Eyes,Red Hair,Male Characters,1993
Riot,Bad Characters,Brown Eyes,Brown Hair,Female Characters,1993
Dean Hunter,Good Characters,Blue Eyes,Blond Hair,Male Characters,1992
Natalia Spirin,Bad Characters,Blue Eyes,Black Hair,Female Characters,1991
Shivering Jemmy,Bad Characters,Red Eyes,Blond Hair,Female Characters,1991
Tooley Wilson,Good Characters,Brown Eyes,Black Hair,Male Characters,1991
Alloroc,Good Characters,Brown Eyes,White Hair,Male Characters,1990
Haumond,Good Characters,Blue Eyes,Black Hair,Male Characters,1990
Honsu,Bad Characters,Blue Eyes,Black Hair,Male Characters,1990
Loma,Good Characters,Brown Eyes,Brown Hair,Female Characters,1990
Lorelei,Bad Characters,Brown Eyes,Brown Hair,Female Characters,1990
Prince Kraken,Bad Characters,Blue Eyes,Black Hair,Male Characters,1990
Simon Petrarch,Bad Characters,Blue Eyes,Black Hair,Male Characters,1990
Albert Tyler,Good Characters,Blue Eyes,White Hair,Male Characters,1989
Anahid,Good Characters,Brown Eyes,Brown Hair,Female Characters,1989
Delia Ryan,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,1989
Ernesto Lopez,Good Characters,Brown Eyes,Brown Hair,Male Characters,1989
Lurgo,Bad Characters,Black Eyes,Black Hair,Male Characters,1989
Roger Richter,Good Characters,Brown Eyes,Brown Hair,Male Characters,1989
Ashley Mavis Powell,Bad Characters,Brown Eyes,Black Hair,Female Characters,1988
Eiji Hasegawa,Bad Characters,Brown Eyes,Black Hair,Male Characters,1988
Elizabeth Joyce,Neutral Characters,Brown Eyes,Red Hair,Female Characters,1988
Eric Forrester,Bad Characters,Blue Eyes,Black Hair,Male Characters,1988
Force,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1988
Howard Baxter-Foote,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,1988
Jeannie Kerr,Good Characters,Blue Eyes,Blond Hair,Female Characters,1988
Kevin Mayer,Good Characters,Brown Eyes,Black Hair,Male Characters,1988
Lawrence Eden,Bad Characters,Blue Eyes,Black Hair,Male Characters,1988
Amber,Good Characters,Gold Eyes,Red Hair,Female Characters,1987
Broderick,Bad Characters,Blue Eyes,Red Hair,Male Characters,1987
Donal,Good Characters,Blue Eyes,Blond Hair,Male Characters,1987
Eos,Good Characters,Blue Eyes,White Hair,Female Characters,1987
Fay Gunn,Bad Characters,Blue Eyes,White Hair,Female Characters,1987
Vara,Good Characters,Blue Eyes,Black Hair,Female Characters,1987
Zebra-Man II,Bad Characters,Black Eyes,Black Hair,Male Characters,1987
Blackjack McCullough,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1985
Nacht,Bad Characters,Blue Eyes,Black Hair,Female Characters,1985
Joel Cochin,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1984
Stratos,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1984
Avir,Good Characters,Black Eyes,White Hair,Female Characters,1983
Brin,Good Characters,Blue Eyes,White Hair,Male Characters,1983
Executrix,Bad Characters,Brown Eyes,Brown Hair,Female Characters,1983
Taren,Good Characters,Red Eyes,Red Hair,Male Characters,1983
Violet Harper,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1983
Renard Traquer,Bad Characters,Blue Eyes,Black Hair,Male Characters,1982
Tahr,Good Characters,Black Eyes,White Hair,Male Characters,1982
Vanessa Tremont,Neutral Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,1982
Ahura-Mazda,Good Characters,Gold Eyes,Gold Hair,Male Characters,1980
Helen Jordan,Good Characters,Blue Eyes,Black Hair,Female Characters,1978
Liza Warner,Good Characters,Blue Eyes,Blond Hair,Female Characters,1975
Byron Williams,Good Characters,Blue Eyes,Brown Hair,Male Characters,1967
Gilbert Jeffries,Good Characters,Blue Eyes,Black Hair,Male Characters,1967
Philip Folger,Good Characters,Blue Eyes,Blond Hair,Male Characters,1967
Cernunnos,Bad Characters,Blue Eyes,Black Hair,Male Characters,1966
Ding-Dong Daddy,Bad Characters,Black Eyes,Black Hair,Male Characters,1966
Shaggy Man II,Bad Characters,Red Eyes,Brown Hair,Male Characters,1966
Frederick Storm,Bad Characters,Black Eyes,Black Hair,Male Characters,1964
Bulldozer Nichols,Good Characters,Blue Eyes,Blond Hair,Male Characters,1960
Brave Bow,Good Characters,Brown Eyes,Grey Hair,Male Characters,1959
Brane,Good Characters,Blue Eyes,Black Hair,Male Characters,1944
Richard,Good Characters,Blue Eyes,Black Hair,Male Characters,1944
Anton Schott,Bad Characters,Brown Eyes,Red Hair,Male Characters,2011
Bixby Rhodes,Bad Characters,Black Eyes,Black Hair,Male Characters,2011
Brendt Sorensen,Bad Characters,Green Eyes,Red Hair,Male Characters,2011
Enyo,Bad Characters,Black Eyes,Black Hair,Female Characters,2011
Maggie Mxyzptlk,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,2011
Ophelia Day,Bad Characters,Green Eyes,Red Hair,Female Characters,2011
Alera,Good Characters,Green Eyes,White Hair,Female Characters,2010
Benjamin Vitale,Bad Characters,Brown Eyes,Black Hair,Male Characters,2010
Charlotte Blackwood,Good Characters,Brown Eyes,Brown Hair,Female Characters,2010
Evan Gibson,Good Characters,Blue Eyes,Black Hair,Male Characters,2010
Lotta,Good Characters,Green Eyes,Purple Hair,Female Characters,2010
Phil,Good Characters,Black Eyes,Brown Hair,Male Characters,2010
Sebastian Rothschild,Bad Characters,Black Eyes,Black Hair,Male Characters,2010
Catherine Hamilton,Neutral Characters,Green Eyes,Brown Hair,Female Characters,2009
Frederick Abberline,Good Characters,Blue Eyes,Black Hair,Male Characters,2009
Lyle Blanco,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2009
Mur,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2009
Todd Rice,Good Characters,Brown Eyes,Brown Hair,Male Characters,2009
Akhlut,Bad Characters,Black Eyes,Black Hair,Male Characters,2008
Empathy,Good Characters,Blue Eyes,Red Hair,Female Characters,2008
Jake Donnelly,Neutral Characters,Brown Eyes,Black Hair,Male Characters,2008
Kane Milohai,Good Characters,Brown Eyes,Brown Hair,Male Characters,2008
Sabine Roth,Good Characters,Brown Eyes,Grey Hair,Female Characters,2008
Bizarro Doomsday,Bad Characters,Black Eyes,Black Hair,Male Characters,2007
Dev-Em,Bad Characters,Green Eyes,Purple Hair,Male Characters,2007
Ken Thurston,Good Characters,Brown Eyes,Brown Hair,Male Characters,2007
Macro,Bad Characters,Blue Eyes,Red Hair,Female Characters,2007
Magda,Bad Characters,Brown Eyes,Black Hair,Female Characters,2007
Mircea,Bad Characters,White Eyes,Black Hair,Male Characters,2007
Trey Thompson,Good Characters,Blue Eyes,Black Hair,Male Characters,2007
Uriah,Bad Characters,Black Eyes,Black Hair,Male Characters,2007
Jon Standing Bear,Good Characters,Brown Eyes,Black Hair,Male Characters,2006
Qanda,Good Characters,Green Eyes,Orange Hair,Female Characters,2006
Robert Castell,Neutral Characters,Brown Eyes,Black Hair,Male Characters,2006
Thormon Tox,Good Characters,Blue Eyes,Blond Hair,Male Characters,2006
All-Beard,Bad Characters,Brown Eyes,Grey Hair,Male Characters,2005
Charity Bleak,Neutral Characters,Black Eyes,Black Hair,Female Characters,2005
Charliehorse,Bad Characters,Black Eyes,Brown Hair,Male Characters,2005
Helen Helligan,Good Characters,Brown Eyes,Brown Hair,Female Characters,2005
Hollywood,Good Characters,Green Eyes,Red Hair,Female Characters,2005
Horigal,Bad Characters,Yellow Eyes,Black Hair,Male Characters,2005
Millions,Good Characters,Black Eyes,White Hair,Male Characters,2005
Shelly Gaynor,Good Characters,Blue Eyes,Blond Hair,Female Characters,2005
Strato,Neutral Characters,Black Eyes,Grey Hair,Male Characters,2005
Submissionary Judah,Neutral Characters,Black Eyes,Black Hair,Male Characters,2005
William Beezer,Bad Characters,Brown Eyes,Blond Hair,Male Characters,2005
Casey Krinsky,Bad Characters,Hazel Eyes,Blond Hair,Female Characters,2004
Henry Kucharski,Good Characters,Blue Eyes,Blond Hair,Male Characters,2004
Wormhole,Bad Characters,Blue Eyes,Brown Hair,Male Characters,2004
Zaladin,Bad Characters,White Eyes,Black Hair,Male Characters,2003
Antiphon,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2002
Madame X,Bad Characters,Blue Eyes,White Hair,Female Characters,2002
Nine of Diamonds I,Bad Characters,Brown Eyes,Brown Hair,Female Characters,2002
Tolteca,Bad Characters,Blue Eyes,Black Hair,Female Characters,2002
General Good,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2001
Kru-El,Bad Characters,Brown Eyes,Black Hair,Male Characters,2001
Matatoa,Bad Characters,Black Eyes,Blond Hair,Male Characters,2001
Matches Malone,Bad Characters,Blue Eyes,Brown Hair,Male Characters,2001
Aruna Shende,Good Characters,Brown Eyes,Black Hair,Genderless Characters,2000
Cachiru,Good Characters,Blue Eyes,Black Hair,Male Characters,2000
Dolores Pratchet,Bad Characters,Red Eyes,Red Hair,Female Characters,2000
Ebikar Hrui,Good Characters,Yellow Eyes,Green Hair,Male Characters,2000
Acolyte,Bad Characters,Red Eyes,Blue Hair,Male Characters,1999
Anya Savenlovich,Good Characters,Green Eyes,Red Hair,Female Characters,1999
Bette Noir,Bad Characters,Grey Eyes,Black Hair,Female Characters,1999
Dante,Bad Characters,Red Eyes,Brown Hair,Male Characters,1999
Dolmen,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1999
Ebenezer Biggs,Bad Characters,Brown Eyes,Blond Hair,Male Characters,1999
Hammeroon,Good Characters,Brown Eyes,Brown Hair,Male Characters,1999
Hanuman,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,1999
